systematic_name	cluster_id
YBR119W	R.L.L.L.L.L
YBR120C	R.L.R
YBR121C	R.R.L
YBR121C-A	R.L.L.R.L
YBR122C	R.L.R
YBR123C	R.L.R
YBR124W	L.R.L
YBR125C	R.R.R
YBR126C	L.R.L
YBR126W-A	R.L.L.R.L
YBR126W-B	R.L.L.R.L
YBR127C	R.L.L.L.L.L
YBR128C	L.R.L
YBR129C	L.R.L
YBR130C	R.R.L
YBR131C-A	R.L.L.R.L
YBR131W	L.R.L
YBR132C	L.R.R.R
YBR133C	R.L.L.R.R
YBR134W	L.R.L
YBR135W	R.L.L.R.R
YBR136W	R.L.L.R.L
YBR137W	L.R.L
YBR138C	R.L.L.R.L
YBR139W	L.R.R.L
YBR140C	R.L.L.L.L.L
YBR141C	R.R.R
YBR141W-A	R.L.L.R.L
YBR142W	R.R.R
YBR143C	R.R.L
YBR144C	R.L.L.R.L
YBR145W	L.R.L
YBR146W	R.R.L
YBR147W	R.L.R
YBR148W	R.L.L.R.L
YBR149W	R.L.L.R.L
YBR150C	L.L
YBR151W	R.L.L.L.R.L.L
YBR152W	L.R.L
YBR153W	R.L.L.R.R
YBR154C	R.R.L
YBR155W	R.R.R
YBR156C	R.L.L.R.R
YBR157C	L.L
YBR158W	L.R.L
YBR159W	R.L.L.R.L
YBR160W	L.R.L
YBR161W	L.L
YBR162C	R.L.L.L.L.R
YBR162W-A	R.L.L.R.L
YBR163W	L.L
YBR164C	R.L.L.L.L.L
YBR165W	L.R.L
YBR166C	R.R.L
YBR167C	R.L.L.R.R
YBR168W	R.L.R
YBR169C	L.R.R.L
YBR170C	L.R.L
YBR171W	R.L.L.R.L
YBR172C	R.L.L.R.R
YBR173C	R.L.L.R.L
YBR174C	L.R.L
YBR175W	L.R.L
YBR176W	R.L.R
YBR177C	R.L.R
YBR178W	L.R.L
YBR179C	R.L.R
YBR180W	R.L.L.R.L
YBR181C	R.L.L.L.L.L
YBR182C	L.L
YBR182C-A	L.L
YBR183W	L.R.R.L
YBR184W	R.L.L.R.L
YBR185C	R.L.R
YBR186W	R.L.L.R.L
YBR187W	R.R.R
YBR188C	R.L.L.L.L.L
YBR189W	R.R.L
YBR190W	R.L.L.L.L.R
YBR191W	R.L.L.L.L.L
YBR191W-A	R.L.L.R.L
YBR192W	R.R.L
YBR193C	R.L.L.R.L
YBR194W	R.L.R
YBR195C	R.L.L.R.R
YBR196C	R.L.L.R.L
YBR196C-A	L.R.L
YBR196C-B	R.L.L.R.L
YBR197C	L.R.L
YBR198C	R.L.R
YBR199W	R.L.L.R.L
YBR200W	R.L.L.R.L
YBR200W-A	L.R.L
YBR201C-A	L.L
YBR201W	L.R.L
YBR202W	R.R.R
YBR203W	R.L.R
YBR204C	R.L.R
YBR205W	R.R.L
YBR206W	R.L.R
YBR207W	L.R.L
YBR208C	R.L.L.R.L
YBR209W	L.R.L
YBR210W	R.R.L
YBR211C	L.R.L
YBR212W	R.L.R
YBR213W	R.L.L.R.R
YBR214W	L.R.R.L
YBR215W	R.L.L.R.R
YBR216C	R.L.R
YBR217W	R.L.L.R.L
YBR218C	R.R.L
YBR219C	R.L.L.R.L
YBR220C	R.R.L
YBR221C	R.L.R
YBR221W-A	R.L.L.R.L
YBR222C	R.L.R
YBR223C	R.L.R
YBR223W-A	R.L.L.R.L
YBR224W	R.L.L.R.L
YBR225W	R.L.R
YBR226C	R.L.L.R.L
YBR227C	R.L.L.L.L.L
YBR228W	R.L.R
YBR229C	R.R.L
YBR230C	R.L.R
YBR230W-A	R.L.L.R.L
YBR231C	R.L.R
YBR232C	R.L.L.R.L
YBR233W	L.R.L
YBR233W-A	R.L.R
YBR234C	R.L.R
YBR235W	R.L.L.R.L
YBR236C	R.L.R
YBR237W	R.L.L.R.L
YBR238C	R.R.R
YBR239C	R.L.R
YBR240C	R.L.L.L.L.R
YBR241C	R.L.R
YBR242W	R.R.R
YBR243C	R.L.R
YBR244W	R.L.L.L.R.L.R
YBR245C	R.L.L.L.R.L.L
YBR246W	R.L.R
YBR247C	R.R.R
YBR248C	R.R.L
YBR249C	R.R.L
YBR250W	L.L
YBR251W	R.R.L
YBR252W	R.R.L
YBR253W	R.L.L.R.L
YBR254C	R.R.L
YBR255C-A	R.L.R
YBR255W	L.R.L
YBR256C	R.L.L.R.L
YBR257W	R.L.R
YBR258C	R.L.R
YBR259W	R.L.L.R.L
YBR260C	L.R.L
YBR261C	R.R.L
YBR262C	R.L.L.R.L
YBR263W	R.L.L.L.L.R
YBR264C	R.L.R
YBR265W	R.R.L
YBR266C	R.L.L.R.L
YBR267W	R.R.R
YBR268W	R.L.R
YBR269C	R.L.R
YBR270C	R.L.L.R.L
YBR271W	R.R.R
YBR272C	R.L.R
YBR273C	R.L.R
YBR274W	R.L.L.R.L
YBR275C	R.L.L.R.L
YBR276C	R.L.L.R.L
YBR277C	R.L.L.R.L
YBR278W	L.R.L
YBR279W	L.R.L
YBR280C	L.R.R.L
YBR281C	R.L.R
YBR282W	R.L.R
YBR283C	R.L.L.R.L
YBR284W	L.L
YBR285W	L.R.R.R
YBR286W	R.L.L.R.L
YBR287W	L.R.L
YBR288C	R.L.R
YBR289W	R.L.L.R.L
YBR290W	L.R.L
YBR291C	R.L.L.R.R
YBR292C	R.L.L.R.L
YBR293W	R.L.L.R.L
YBR294W	R.L.L.R.L
YBR295W	L.R.L
YBR296C	L.R.L
YBR296C-A	R.L.L.R.L
YBR297W	R.L.L.L.R.R.R.L
YBR298C	L.L
YBR298C-A	R.L.L.R.L
YBR299W	R.L.L.L.L.L
YBR300C	R.L.L.R.L
YBR301W	L.R.L
YBR302C	R.L.L.L.L.L
YCL001W	R.L.L.R.L
YCL001W-A	R.L.L.R.L
YCL001W-B	L.R.L
YCL002C	R.L.L.R.R
YCL004W	R.L.R
YCL005W	R.L.L.R.R
YCL005W-A	R.L.L.R.L
YCL007C	L.R.L
YCL008C	R.R.L
YCL009C	R.L.L.R.L
YCL010C	L.R.L
YCL011C	R.L.L.R.L
YCL012C	R.L.L.R.R
YCL014W	R.L.L.R.L
YCL016C	R.L.R
YCL017C	R.L.L.R.L
YCL018W	R.L.L.L.L.L
YCL019W	L.L
YCL020W	R.L.L.R.L
YCL021W-A	R.L.L.R.R
YCL022C	R.L.L.R.L
YCL023C	R.L.L.R.L
YCL024W	R.L.L.R.R
YCL025C	R.L.R
YCL026C-A	R.R.R
YCL026C-B	L.R.L
YCL027W	L.R.L
YCL028W	R.L.R
YCL029C	R.L.R
